Date,Away Team,Home Team,Away Score,Home Score,Away OR,Away DR,Away AT,Home OR,Home DR,Home AT,delta OR,delta DR,delta AT,Away Win,Home Win
2/1/25,100,4,69,90,112.6,95,66.1,125.6,98.1,74,13,3.1,7.9,0,1
2/1/25,24,7,65,61,101.5,115.9,64.7,103.6,112.2,67.8,2.1,-3.7,3.1,1,0
2/1/25,16,9,68,71,101.7,112.4,67.5,105.4,110.9,63.3,3.7,-1.5,-4.2,0,1
2/1/25,102,10,76,80,103.3,114.8,68.8,103.3,100.2,63.8,0,-14.6,-5,0,1
2/1/25,11,12,81,72,120.4,95.8,69.3,110.9,96.8,67.4,-9.5,1,-1.9,1,0
2/1/25,181,14,79,76,83.7,123.5,64.3,98.1,123.2,72.3,14.4,-0.3,8,1,0
2/1/25,133,20,70,81,118.3,91.2,68.1,122.3,101.3,64.1,4,10.1,-4,0,1
2/1/25,6,23,64,67,103.2,114.4,67.7,96.3,105.1,68.6,-6.9,-9.3,0.9,0,1
2/1/25,94,25,60,82,100.3,108.1,72,116.2,101.6,66.2,15.9,-6.5,-5.8,0,1
2/1/25,92,26,76,77,110.7,100.4,69.6,107.1,110.7,65.9,-3.6,10.3,-3.7,0,1
2/1/25,19,33,89,76,104.4,114.3,66.5,97.4,113.3,71,-7,-1,4.5,1,0
2/1/25,292,40,75,66,109.2,105.5,69.1,112.1,108,67.4,2.9,2.5,-1.7,1,0
2/1/25,112,41,52,75,100.2,99.5,63.6,102.3,104.5,66.5,2.1,5,2.9,0,1
2/1/25,28,45,71,90,100.6,112.4,69,101.6,106,66.8,1,-6.4,-2.2,0,1
2/1/25,150,47,85,89,106.9,107.8,68.4,99.1,109.3,68,-7.8,1.5,-0.4,0,1
2/1/25,169,49,84,93,102.8,107.5,71,111.6,109.3,66.8,8.8,1.8,-4.2,0,1
2/1/25,148,50,67,73,94,107,65.6,89.7,111.4,68.4,-4.3,4.4,2.8,0,1
2/1/25,140,55,76,61,98.3,110.1,65.8,105.3,110.4,66.4,7,0.3,0.6,1,0
2/1/25,64,58,95,89,99.3,108.9,70.7,109.6,113.8,69.5,10.3,4.9,-1.2,1,0
