Date,Team 1,Team 2,Score 1,Score 2
11/04/2024,Howard Payne,Abilene Christian,74,107
11/04/2024,North Alabama,Air Force,73,57
11/04/2024,UNC Asheville,Alabama,54,110
11/04/2024,Miami OH,Appalachian St.,77,63
11/04/2024,Canisius,Arizona,64,93
11/04/2024,Akron,Arkansas St.,75,80
11/04/2024,Albany,Army,59,67
11/04/2024,Union,Austin Peay,75,95
11/04/2024,Maryville TN,Belmont,70,93
11/04/2024,The Citadel,Boston College,60,69
11/04/2024,Northeastern,Boston University,80,72
11/04/2024,Southeast Missouri,Bradley,60,88
11/04/2024,Dean,Bryant,63,105
11/04/2024,Missouri St.,Butler,65,72
11/04/2024,Incarnate Word,Cal Baptist,78,83
11/04/2024,Cal St. Bakersfield,California,73,86
11/04/2024,Pfeiffer,Campbell,49,96
11/04/2024,Presbyterian,Charlotte,79,88
11/04/2024,Arkansas Pine Bluff,Cincinnati,54,109
11/04/2024,Charleston Southern,Clemson,64,91
11/04/2024,Western Michigan,Coastal Carolina,56,60
11/04/2024,Eastern Washington,Colorado,56,76
11/04/2024,North Dakota,Colorado St.,56,82
11/04/2024,Marywood,Cornell,52,93
11/04/2024,Vermont St. Lyndon,Dartmouth,47,129
11/04/2024,William Peace,Davidson,47,88
11/04/2024,Saint Francis,Dayton,57,87
11/04/2024,Bucknell,Delaware,85,73
11/04/2024,Southern Indiana,DePaul,78,80
11/04/2024,Cleary,Detroit Mercy,52,91
11/04/2024,York NE,Drake,41,93
11/04/2024,Georgian Court,Drexel,43,95
11/04/2024,Maine,Duke,62,96
11/04/2024,Lipscomb,Duquesne,77,72
11/04/2024,NC Wesleyan,East Carolina,70,97
11/04/2024,Newberry,East Tennessee St.,51,72
11/04/2024,Alice Lloyd,Eastern Kentucky,69,98
11/04/2024,Northern Kentucky,Florida St.,62,74
11/04/2024,Columbia International,Furman,46,104
11/04/2024,North Carolina Central,George Mason,58,75
11/04/2024,Mercyhurst,George Washington,59,76
11/04/2024,Tennessee Tech,Georgia,78,83
11/04/2024,Northern Illinois,Georgia Southern,65,80
11/04/2024,Ball St.,Georgia St.,66,71
11/04/2024,Baylor,Gonzaga,63,101
11/04/2024,Southern New Orleans,Grambling St.,42,92
11/04/2024,Cal St. Fullerton,Grand Canyon,79,89
11/04/2024,Mid Atlantic Christian,Hampton,53,110
11/04/2024,Marist,Harvard,66,79
11/04/2024,Old Westbury,Hofstra,62,89
11/04/2024,Jackson St.,Houston,40,97
11/04/2024,Avila,Houston Christian,59,86
11/04/2024,Northwest,Idaho,60,94
11/04/2024,Eastern Illinois,Illinois,67,112
11/04/2024,St. Francis IL,Illinois Chicago,43,91
11/04/2024,Tennessee Martin,Illinois St.,67,65
11/04/2024,East Texas A&M,Iowa,67,89
11/04/2024,Mississippi Valley St.,Iowa St.,44,83
11/04/2024,IU Columbus,IU Indy,44,100
11/04/2024,Trinity Baptist,Jacksonville,65,78
11/04/2024,LaGrange,Jacksonville St.,48,112
11/04/2024,Ohio,James Madison,78,88
11/04/2024,Howard,Kansas,57,87
11/04/2024,Hannibal LaGrange,Kansas City,68,91
11/04/2024,Wright St.,Kentucky,62,103
11/04/2024,American,La Salle,52,65
11/04/2024,Paul Quinn,Lamar,42,113
11/04/2024,Arkansas Baptist,Little Rock,64,84
11/04/2024,La Verne,Long Beach St.,48,93
11/04/2024,Randolph,Longwood,68,79
11/04/2024,Kent St.,Louisiana,70,66
11/04/2024,Champion Christian,Louisiana Monroe,61,111
11/04/2024,LSU Alexandria,Louisiana Tech,50,77
11/04/2024,Morehead St.,Louisville,45,93
11/04/2024,Chicago St.,Loyola Chicago,72,79
11/04/2024,Life Pacific,Loyola Marymount,56,99
11/04/2024,Columbia,Loyola MD,81,78
11/04/2024,Stony Brook,Marquette,62,102
11/04/2024,Davis & Elkins,Marshall,57,90
11/04/2024,Manhattan,Maryland,49,79
11/04/2024,New Hampshire,Massachusetts,74,103
11/04/2024,Missouri,Memphis,75,83
11/04/2024,Fairleigh Dickinson,Miami FL,72,113
11/04/2024,Cleveland St.,Michigan,53,101
11/04/2024,Monmouth,Michigan St.,57,81
11/04/2024,Oglethorpe,Middle Tennessee,51,97
11/04/2024,Lakeland,Milwaukee,62,118
11/04/2024,LIU,Mississippi,60,90
11/04/2024,West Georgia,Mississippi St.,60,95
11/04/2024,Hawaii Hilo,Montana,61,92
11/04/2024,Frostburg St.,Morgan St.,76,89
11/04/2024,Notre Dame MD,Mount St. Mary's,62,98
11/04/2024,Bethel TN,Murray St.,37,113
11/04/2024,USC Upstate,N.C. State,66,97
11/04/2024,UT Rio Grande Valley,Nebraska,67,87
11/04/2024,Mid America Christian,Nebraska Omaha,69,85
11/04/2024,Sam Houston St.,Nevada,75,91
11/04/2024,Nicholls,New Mexico,84,91
11/04/2024,New Mexico Highlands,New Mexico St.,57,93
11/04/2024,Houghton,Niagara,65,100
11/04/2024,Penn,NJIT,58,57
11/04/2024,Penn St. Wilkes Barre,Norfolk St.,41,96
11/04/2024,Elon,North Carolina,76,90
11/04/2024,Cheyney,North Carolina A&T,55,107
11/04/2024,Jamestown,North Dakota St.,59,96
11/04/2024,Park,Northern Arizona,49,100
11/04/2024,Colorado College,Northern Colorado,55,75
11/04/2024,Dubuque,Northern Iowa,54,96
11/04/2024,Lehigh,Northwestern,46,90
11/04/2024,Dallas Christian,Northwestern St.,55,96
11/04/2024,Defiance,Oakland,52,75
11/04/2024,Lindenwood,Oklahoma,60,93
11/04/2024,Green Bay,Oklahoma St.,76,89
11/04/2024,Buffalo,Old Dominion,83,82
11/04/2024,UC Riverside,Oregon,76,91
11/04/2024,Utah Tech,Oregon St.,57,80
11/04/2024,Jessup,Pacific,65,92
11/04/2024,Binghamton,Penn St.,66,108
11/04/2024,Radford,Pittsburgh,56,96
11/04/2024,Biblical Studies,Prairie View A&M,90,111
11/04/2024,Iona,Princeton,80,81
